RELATIVE_TIME_SEC,YIELD,DATE
2676,0.0,2020-05-21
2680,0.0,2020-05-22
2684,0.0,2020-05-22
2688,0.0,2020-05-22
2692,0.0,2020-05-22
2696,0.0,2020-05-22
2700,0.0,2020-05-22
2704,0.0,2020-05-22
2708,0.0,2020-05-22
2712,0.0,2020-05-22
2716,0.0,2020-05-22
2720,0.0,2020-05-22
2724,0.0,2020-05-22
2728,0.0,2020-05-22
2732,0.0,2020-05-22
2736,0.0,2020-05-22
2740,0.0,2020-05-22
2744,0.0,2020-05-22
2748,0.0,2020-05-22
2752,0.0,2020-05-22
2756,0.0,2020-05-22
2760,0.0,2020-05-22
2764,0.0,2020-05-22
2768,0.0,2020-05-22
2772,0.20296296296296293,2020-05-22
2776,20.45703703703704,2020-05-22
2780,50.997671957671955,2020-05-22
2784,104.50777777777779,2020-05-22
2788,165.55005291005293,2020-05-22
2792,194.1519841269841,2020-05-22
2796,274.4037037037037,2020-05-22
2800,396.387619047619,2020-05-22
2804,470.63388888888886,2020-05-22
2808,537.1183333333333,2020-05-22
2812,612.111746031746,2020-05-22
2816,703.5637037037037,2020-05-22
2820,766.4523280423278,2020-05-22
2824,721.3954232804233,2020-05-22
2828,714.1288888888889,2020-05-22
2832,694.2497883597883,2020-05-22
2836,709.145873015873,2020-05-22
2840,697.7614814814814,2020-05-22
2844,709.0604761904762,2020-05-22
2848,692.0877777777778,2020-05-22
2852,686.5201851851851,2020-05-22
2856,694.6100529100529,2020-05-22
2860,702.8807407407407,2020-05-22
2864,714.7607407407409,2020-05-22
2868,717.9258994708994,2020-05-22
2872,715.2293121693123,2020-05-22
2876,715.8475925925927,2020-05-22
2880,712.5085185185186,2020-05-22
2884,711.2177777777777,2020-05-22
2888,754.1197354497355,2020-05-22
2892,739.3679629629629,2020-05-22
2896,655.3225925925925,2020-05-22
2900,677.5617195767195,2020-05-22
2904,687.4633333333334,2020-05-22
2908,710.2702380952383,2020-05-22
2912,763.4734656084657,2020-05-22
2916,840.5574074074073,2020-05-22
2920,881.781455026455,2020-05-22
2924,825.3557936507935,2020-05-22
2928,773.6947883597883,2020-05-22
2932,710.1728306878308,2020-05-22
2936,642.402962962963,2020-05-22
2940,568.8630158730159,2020-05-22
2944,494.6691534391535,2020-05-22
2948,415.20396825396824,2020-05-22
2952,334.1839153439154,2020-05-22
2956,259.17259259259254,2020-05-22
2960,186.31267195767197,2020-05-22
2964,123.22460317460319,2020-05-22
2968,43.25801587301588,2020-05-22
2972,13.099973544973544,2020-05-22
2976,0.7833333333333334,2020-05-22
2980,0.0,2020-05-22
2984,0.0,2020-05-22
2988,0.0,2020-05-22
2992,0.0,2020-05-22
2996,0.0,2020-05-22
3000,0.0,2020-05-22
3004,0.0,2020-05-22
3008,0.0,2020-05-22
3012,0.0,2020-05-22
3016,0.0,2020-05-22
3020,0.0,2020-05-22
3024,0.0,2020-05-22
3028,0.0,2020-05-22
3032,0.0,2020-05-22
3036,0.0,2020-05-22
3040,0.0,2020-05-22
3044,0.0,2020-05-22
3048,0.0,2020-05-22
3052,0.0,2020-05-22
3056,0.0,2020-05-22
3060,0.0,2020-05-22
3064,0.0,2020-05-23
3068,0.0,2020-05-23
3072,0.0,2020-05-23
3076,0.0,2020-05-23
3080,0.0,2020-05-23
3084,0.0,2020-05-23
3088,0.0,2020-05-23
3092,0.0,2020-05-23
3096,0.0,2020-05-23
3100,0.0,2020-05-23
3104,0.0,2020-05-23
3108,0.0,2020-05-23
3112,0.0,2020-05-23
3116,0.0,2020-05-23
3120,0.0,2020-05-23
3124,0.0,2020-05-23
3128,0.0,2020-05-23
3132,0.0,2020-05-23
3136,0.0,2020-05-23
3140,0.0,2020-05-23
3144,0.0,2020-05-23
3148,0.0,2020-05-23
3152,0.0,2020-05-23
3156,0.0,2020-05-23
3160,17.360476190476188,2020-05-23
3164,46.14962962962962,2020-05-23
3168,85.50825396825397,2020-05-23
3172,135.47579365079366,2020-05-23
